,ticker,society_n,society_p,jobs_n,jobs_p,taxes_n,taxes_p,societal_infrastructure_n,societal_infrasctucute_p,societal_stability_n,societal_stability_p,equality_human_rights_n,eqality_human_rights_p,environment_n,environment_p,ghg_emission_n,ghg_emission_p,non_ghg_emission_n,non_ghg_emission_p,scarcenatural_resources_n,scarce_natural_resources_p,bidodiversity_n,biodiversity_p,waste_n,waste_p,millennials,most_wanted_workforce,society_first,knowledge_first,health_first,net_impact_ratio,health_n,health_p,physical_diseases_n,physical_diseases_p,mental_diseases_n,mental_diseases_p,nutrition_n,nutrition_p,relationships_n,relationships_p,meaning_joy_n,meaning_joy_p,knowledge_n,knowledge_p,knowledge_infrastructure_n,knowledge_infrastructure_p,creating_knowledge_n,creating_knowledge_p,distributing_knowledge_n,distributing_knowledge_p,scarce_human_capital_n,scarce_human_capital_p
21,CDW,-0.05,2.5,0.0,0.76,0.0,1.5,0.0,0.13,-0.05,0.09,-0.0,0.02,-0.88,0.03,-0.45,0.02,-0.05,0.01,-0.02,0.0,-0.02,0.0,-0.34,0.0,0.382,0.2,0.2,0.124,0.7090000000000001,0.244,-0.13,0.38,-0.06,0.16,-0.02,0.05,0.0,0.0,-0.03,0.04,-0.02,0.12,-2.47,1.78,0.0,1.38,0.0,0.14,-0.0,0.26,-2.47,0.0
22,CERN,-0.04,4.08,0.0,1.59,0.0,2.23,0.0,0.16,-0.03,0.01,-0.0,0.1,-0.65,0.02,-0.34,0.01,-0.07,0.01,-0.03,0.0,-0.02,0.0,-0.18,0.0,0.45,0.3339999999999999,0.3339999999999999,0.0559999999999999,0.374,0.4529999999999999,-0.16,4.01,-0.11,2.67,-0.02,0.97,0.0,0.0,-0.02,0.05,-0.01,0.32,-3.87,0.52,0.0,0.23,0.0,0.28,-0.0,0.0,-3.87,0.0
23,CHTR,-0.04,2.51,0.0,0.78,0.0,1.35,0.0,0.15,-0.03,0.18,-0.02,0.06,-0.99,0.02,-0.63,0.02,-0.1,0.0,-0.03,0.0,-0.04,0.0,-0.19,0.0,0.55,0.278,0.278,0.32,0.784,0.3879999999999999,-1.39,1.74,-0.79,0.12,-0.26,0.07,0.0,0.0,-0.27,1.12,-0.07,0.42,-1.47,2.1,0.0,1.19,0.0,0.23,-0.01,0.67,-1.46,0.0
24,CINF,-0.14,2.92,0.0,0.44,0.0,0.99,0.0,1.4,-0.02,0.01,-0.12,0.09,-0.56,0.02,-0.34,0.01,-0.09,0.0,-0.01,0.0,-0.02,0.0,-0.09,0.01,0.3939999999999999,0.1939999999999999,0.1939999999999999,0.4429999999999999,0.057,0.311,-0.14,0.27,-0.09,0.17,-0.02,0.04,0.0,0.0,-0.01,0.02,-0.02,0.04,-1.41,0.05,0.0,0.0,0.0,0.03,-0.0,0.02,-1.41,0.0
25,CTAS,-0.06,3.49,0.0,1.48,0.0,1.53,0.0,0.46,-0.01,0.01,-0.05,0.01,-2.36,0.36,-1.2,0.18,-0.41,0.08,-0.19,0.0,-0.06,0.0,-0.49,0.11,0.5589999999999999,0.299,0.299,0.321,0.628,0.3939999999999999,-0.24,1.16,-0.22,0.68,-0.01,0.03,0.0,0.0,-0.0,0.07,-0.01,0.37,-0.76,0.64,0.0,0.02,0.0,0.11,-0.0,0.51,-0.76,0.0
26,CSCO,-0.1,3.05,0.0,0.84,0.0,1.76,0.0,0.16,-0.1,0.28,-0.0,0.02,-0.81,0.05,-0.47,0.04,-0.06,0.01,-0.02,0.0,-0.02,0.0,-0.24,0.0,0.5760000000000001,0.4579999999999999,0.4579999999999999,0.441,0.802,0.504,-0.22,1.68,-0.1,0.2,-0.05,0.05,0.0,0.0,-0.05,0.95,-0.02,0.48,-2.57,2.69,0.0,1.87,0.0,0.57,-0.0,0.26,-2.57,0.0
27,CTXS,-0.06,4.16,0.0,0.97,0.0,2.24,0.0,0.13,-0.06,0.81,-0.0,0.01,-0.58,0.04,-0.36,0.03,-0.06,0.01,-0.03,0.0,-0.01,0.0,-0.12,0.0,0.5920000000000001,0.508,0.508,0.542,0.757,0.568,-0.13,3.71,-0.05,0.31,-0.02,0.05,0.0,0.0,-0.04,2.35,-0.02,1.0,-3.77,2.6,0.0,2.42,0.0,0.14,-0.0,0.05,-3.77,0.0
28,CME,-0.15,1.37,0.0,0.36,0.0,0.92,0.0,0.06,-0.13,0.02,-0.02,0.01,-0.38,0.04,-0.27,0.01,-0.04,0.0,-0.01,0.01,-0.02,0.0,-0.05,0.01,0.327,0.162,0.162,0.051,0.7240000000000001,0.195,-0.09,0.12,-0.02,0.05,-0.0,0.01,0.0,0.0,-0.05,0.02,-0.02,0.03,-1.61,1.24,0.0,0.05,0.0,0.01,-0.0,1.18,-1.61,0.0
29,CTSH,-0.04,5.66,0.0,3.22,0.0,1.96,0.0,0.31,-0.04,0.09,-0.01,0.08,-0.77,0.03,-0.42,0.02,-0.07,0.01,-0.05,0.0,-0.03,0.0,-0.2,0.0,0.621,0.522,0.522,0.485,0.772,0.565,-0.14,1.44,-0.09,0.75,-0.02,0.21,0.0,0.03,-0.02,0.1,-0.02,0.34,-3.26,2.55,0.0,0.29,0.0,0.67,-0.0,1.58,-3.26,0.0
30,CMCSA,-0.03,3.05,0.0,0.92,0.0,1.57,0.0,0.28,-0.02,0.25,-0.01,0.03,-0.71,0.02,-0.38,0.01,-0.05,0.01,-0.02,0.0,-0.02,0.0,-0.23,0.0,0.525,0.255,0.255,0.335,0.72,0.377,-1.35,1.49,-0.7,0.19,-0.15,0.06,0.0,0.0,-0.44,0.65,-0.07,0.59,-1.7,1.52,0.0,0.71,0.0,0.32,-0.0,0.49,-1.7,0.0
